Código,Ação,Tipo,Qtde. Teórica,Part. (%)
ABEV3,AMBEV S/A,ON,4355174839,2.953
ASAI3,ASSAI,ON NM,157635935,0.554
AZUL4,AZUL,PN N2,327283207,0.645
B3SA3,B3,ON NM,1930877944,5.167
BBAS3,BRASIL,ON ERJ NM,1283197221,1.76
BBDC3,BRADESCO,ON EJ N1,1147260246,1.125
BBDC4,BRADESCO,PN EJ N1,4261649634,4.663
BBSE3,BBSEGURIDADE,ON NM,671584841,0.82
BEEF3,MINERVA,ON NM,239331676,0.114
BPAC11,BTGP BANCO,UNT N2,263871572,1.319
BRAP4,BRADESPAR,PN N1,222075664,0.706
BRDT3,PETROBRAS BR,ON NM,1164958126,1.129
BRFS3,BRF SA,ON NM,811759800,0.867
BRKM5,BRASKEM,PNA N1,264640575,0.414
BRML3,BR MALLS PAR,ON NM,843728684,0.339
BTOW3,B2W DIGITAL,ON NM,201549295,0.801
CCRO3,CCR SA,ON NM,1115695556,0.6
CIEL3,CIELO,ON NM,1112196638,0.185
CMIG4,CEMIG,PN N1,969723092,0.551
COGN3,COGNA ON,ON NM,1847994874,0.328
CPFE3,CPFL ENERGIA,ON NM,187714249,0.259
CPLE6,COPEL,PNB N1,128297543,0.373
CRFB3,CARREFOUR BR,ON NM,391758726,0.368
CSAN3,COSAN,ON NM,129314042,0.525
CSNA3,SID NACIONAL,ON,642398790,1.075
CVCB3,CVC BRASIL,ON NM,172756818,0.136
CYRE3,CYRELA REALT,ON NM,281154098,0.339
ECOR3,ECORODOVIAS,ON NM,171109276,0.09
EGIE3,ENGIE BRASIL,ON NM,254792279,0.504
ELET3,ELETROBRAS,ON N1,358018408,0.556
ELET6,ELETROBRAS,PNB N1,242977127,0.383
EMBR3,EMBRAER,ON NM,736143105,0.443
ENBR3,ENERGIAS BR,ON NM,250403441,0.217
ENEV3,ENEVA,ON NM,287844670,0.948
ENGI11,ENERGISA,UNT N2,250679709,0.527
EQTL3,EQUATORIAL,ON NM,1010286085,0.988
EZTC3,EZTEC,ON NM,95756217,0.146
FLRY3,FLEURY,ON NM,303800430,0.388
GGBR4,GERDAU,PN N1,995903643,1.308
GNDI3,INTERMEDICA,ON NM,588176771,2.597
GOAU4,GERDAU MET,PN N1,693699918,0.407
GOLL4,GOL,PN N2,137725788,0.145
HAPV3,HAPVIDA,ON NM,1085256490,0.872
HGTX3,CIA HERING,ON NM,126186408,0.091
HYPE3,HYPERA,ON NM,410147968,0.635
IGTA3,IGUATEMI,ON NM,85796919,0.129
IRBR3,IRBBRASIL RE,ON NM,1255327516,0.36
ITSA4,ITAUSA,PN ED N1,4515538171,2.139
ITUB4,ITAUUNIBANCO,PN EDJ N1,4757466114,5.802
JBSS3,JBS,ON NM,1500315048,1.982
JHSF3,JHSF PART,ON NM,288952690,0.093
KLBN11,KLABIN S/A,UNT N2,788757519,1.195
LAME4,LOJAS AMERIC,PN N1,843325974,1.025
LCAM3,LOCAMERICA,ON NM,323763077,0.386
LREN3,LOJAS RENNER,ON NM,785417914,1.437
MGLU3,MAGAZ LUIZA,ON NM,2668955512,3.226
MRFG3,MARFRIG,ON NM,368864634,0.26
MRVE3,MRV,ON NM,298796441,0.243
MULT3,MULTIPLAN,ON N2,276848567,0.264
NTCO3,GRUPO NATURA,ON NM,841083922,1.919
PCAR3,P.ACUCAR-CBD,ON EC NM,157635935,0.181
PETR3,PETROBRAS,ON N2,3307982840,3.585
PETR4,PETROBRAS,PN N2,4566457037,4.946
PRIO3,PETRORIO,ON NM,164860900,0.716
QUAL3,QUALICORP,ON NM,283467789,0.444
RADL3,RAIADROGASIL,ON NM,1072645150,1.203
RAIL3,RUMO S.A.,ON NM,1218081171,1.084
RENT3,LOCALIZA,ON NM,592069308,1.725
SANB11,SANTANDER BR,UNT,355666691,0.647
SBSP3,SABESP,ON NM,339999111,0.593
SULA11,SUL AMERICA,UNT N2,279572852,0.451
SUZB3,SUZANO S.A.,ON NM,724921241,2.659
TAEE11,TAESA,UNT N2,218568274,0.325
TIMS3,TIM,ON NM,808485985,0.506
TOTS3,TOTVS,ON NM,480228410,0.744
UGPA3,ULTRAPAR,ON NM,1087056490,1.004
USIM5,USIMINAS,PNA N1,513729947,0.426
VALE3,VALE,ON NM,2837320141,13.77
VIVT3,TELEF BRASIL,ON EJ,444219852,0.947
VVAR3,VIAVAREJO,ON NM,1595083594,0.951
WEGE3,WEG,ON ED NM,741148001,2.847
YDUQ3,YDUQS PART,ON NM,300483575,0.426
